Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
New Jersey Devils,25.8,82,27,46,9,63,0.384,245,302,-0.68,0.04,2.99,3.68,35,225,15.56,42,212,80.19,6,14,2562,9.6,2540,0.881,98.6,2
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
