Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Pittsburgh Penguins,29.7,82,46,25,11,103,0.628,269,222,0.49,-0.04,3.28,2.71,50,248,20.16,33,212,84.43,3,8,2849,9.4,2576,0.914,100.5,7
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
