Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Tampa Bay Lightning,29.6,82,51,23,8,110,0.671,285,228,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,2535,11.2,2441,0.907,101.4,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
