Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Seattle Kraken,28.7,82,27,49,6,60,0.366,213,284,-0.8,0.04,2.6,3.46,32,220,14.55,56,223,74.89,8,7,2380,8.9,2367,0.88,98.3,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
