Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Winnipeg Jets,28.2,82,39,32,11,89,0.543,250,253,-0.04,0.02,3.05,3.09,52,247,21.05,58,232,75,9,8,2645,9.5,2721,0.907,100,5
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
