Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Vancouver Canucks,27.7,82,40,30,12,92,0.561,246,231,0.16,0,3,2.82,58,247,23.48,58,231,74.89,5,6,2622,9.4,2612,0.912,100.7,1
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
