Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Los Angeles Kings,28,82,44,27,11,99,0.604,235,232,0.03,-0.01,2.87,2.83,40,248,16.13,53,227,76.65,11,9,2865,8.2,2341,0.901,98.7,5
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
