Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Edmonton Oilers,29.1,82,49,27,6,104,0.634,285,251,0.46,0,3.48,3.06,61,235,25.96,52,252,79.37,11,6,2790,10.2,2647,0.905,99.9,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
