Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Anaheim Ducks,27.9,82,31,37,14,76,0.463,228,266,-0.45,0.03,2.78,3.24,48,219,21.92,43,224,80.8,6,4,2393,9.5,2725,0.902,99.3,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
