Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
San Jose Sharks,29,82,32,37,13,77,0.47,211,261,-0.58,0.03,2.57,3.18,41,216,18.98,33,223,85.2,4,11,2400,8.8,2622,0.9,99.2,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
