Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Nashville Predators,27.7,82,45,30,7,97,0.591,262,250,0.19,0.02,3.2,3.05,63,258,24.42,59,284,79.23,2,5,2439,10.7,2646,0.906,100.7,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
