Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Columbus Blue Jackets,26.6,82,37,38,7,81,0.494,258,297,-0.44,0.02,3.15,3.62,41,220,18.64,51,238,78.57,7,6,2463,10.5,2887,0.897,99.9,2
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
