Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Calgary Flames,28.8,82,50,21,11,111,0.677,291,206,0.99,-0.05,3.55,2.51,54,236,22.88,42,250,83.2,7,3,2908,10,2374,0.913,100.9,11
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
