Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Ottawa Senators,26.6,82,33,42,7,73,0.445,224,264,-0.44,0.03,2.73,3.22,47,243,19.34,49,249,80.32,9,4,2463,9.1,2740,0.904,99.5,2
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
