Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Montreal Canadiens,27.8,82,22,49,11,55,0.335,218,317,-1.15,0.05,2.66,3.87,34,248,13.71,67,274,75.55,6,12,2442,8.9,2823,0.888,99.1,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
