Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Philadelphia Flyers,28.3,82,25,46,11,61,0.372,210,294,-1,0.06,2.56,3.59,30,239,12.55,57,235,75.74,6,11,2539,8.3,2785,0.894,99.5,1
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
