Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Boston Bruins,28.5,82,51,26,5,107,0.652,253,218,0.38,-0.05,3.09,2.66,50,236,21.19,49,262,81.3,5,6,2962,8.5,2354,0.907,99.1,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
