Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Toronto Maple Leafs,28.4,82,54,21,7,115,0.701,312,252,0.69,-0.06,3.8,3.07,63,231,27.27,42,234,82.05,13,4,2835,11,2511,0.9,100.2,7
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
