Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
New York Rangers,26.7,82,52,24,6,110,0.671,250,204,0.54,-0.03,3.05,2.49,55,218,25.23,40,226,82.3,8,2,2392,10.5,2528,0.919,101,9
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
