Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
New York Islanders,30.1,82,37,35,10,84,0.512,229,231,-0.09,-0.02,2.79,2.82,46,208,22.12,34,215,84.19,5,7,2367,9.7,2669,0.913,100.9,9
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
