Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Chicago Blackhawks,28,82,28,42,12,68,0.415,213,289,-0.83,0.05,2.6,3.52,47,245,19.18,53,223,76.23,2,6,2362,9,2703,0.893,99,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
