Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Buffalo Sabres,27.5,82,32,39,11,75,0.457,229,287,-0.69,0.02,2.79,3.5,47,222,21.17,50,212,76.42,6,6,2451,9.3,2702,0.894,99,1
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
