Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Washington Capitals,29.5,82,44,26,12,100,0.61,270,242,0.35,-0.02,3.29,2.95,48,256,18.75,44,225,80.44,8,9,2577,10.5,2378,0.898,100.5,8
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
