Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Carolina Hurricanes,28.3,82,54,20,8,116,0.707,277,200,0.88,-0.05,3.38,2.44,51,232,21.98,33,276,88.04,4,3,2798,9.9,2310,0.913,100.8,6
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
