Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Vegas Golden Knights,28.5,82,43,31,8,94,0.573,262,244,0.21,-0.01,3.2,2.98,39,212,18.4,47,208,77.4,10,7,2830,9.3,2458,0.901,99.6,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
