Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Dallas Stars,29.4,82,46,30,6,98,0.598,233,244,-0.09,0.01,2.84,2.98,54,241,22.41,46,219,79,7,5,2486,9.4,2545,0.904,99.7,2
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
