Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Florida Panthers,27.8,82,58,18,6,122,0.744,337,242,1.07,-0.08,4.11,2.95,64,262,24.43,53,259,79.54,12,8,3062,11,2515,0.904,100.4,5
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
