Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Minnesota Wild,29.4,82,53,22,7,113,0.689,305,249,0.68,-0.02,3.72,3.04,53,258,20.54,63,264,76.14,2,5,2666,11.4,2577,0.903,101.9,3
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
