Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
St. Louis Blues,28.8,82,49,22,11,109,0.665,309,239,0.79,-0.05,3.77,2.91,65,241,26.97,35,220,84.09,9,5,2492,12.4,2591,0.908,102,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
