Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,26.9,82,32,40,10,74,0.451,227,310,-0.95,0.06,2.77,3.78,37,227,16.3,59,225,73.78,4,10,2414,9.4,2761,0.888,99.4,4
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
