Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Arizona Coyotes,28,82,25,50,7,57,0.348,206,309,-1.23,0.06,2.51,3.77,28,202,13.86,64,256,75,3,4,2121,9.7,2910,0.894,99.7,1
League Average,28.2,82,41,32,9,91,0.555,255,255,,,,,49,237,20.61,49,237,79.39,7,7,2593,9.8,2593,0.902,,4
