DateTime,Shot Type,PowerPlay,XLocation,YLocation
2013-03-17T23:00:00Z,Wrist Shot,TRUE,-53,18
2013-03-19T23:30:00Z,Snap Shot,FALSE,74,12
2013-03-22T00:00:00Z,Snap Shot,FALSE,75,8
2013-03-22T23:00:00Z,Snap Shot,TRUE,-54,28
2013-03-22T23:00:00Z,Slap Shot,FALSE,69,21
2013-03-24T23:00:00Z,Tip-In,TRUE,76,0
2013-03-24T23:00:00Z,Wrist Shot,TRUE,83,-3
2013-03-30T23:00:00Z,Wrist Shot,FALSE,57,30
2013-03-30T23:00:00Z,Wrist Shot,TRUE,-70,1
2013-03-31T22:00:00Z,Slap Shot,FALSE,67,20
2013-04-02T23:00:00Z,Snap Shot,TRUE,54,-15
2013-04-02T23:00:00Z,Wrist Shot,TRUE,-79,5
2013-04-04T23:00:00Z,Backhand,TRUE,-79,-1
2013-04-06T23:30:00Z,Wrist Shot,FALSE,76,6
2013-04-06T23:30:00Z,Wrist Shot,TRUE,-79,17
2013-04-06T23:30:00Z,Wrist Shot,FALSE,-73,-11
2013-04-07T23:00:00Z,Tip-In,TRUE,74,2
2013-04-07T23:00:00Z,Wrist Shot,TRUE,-70,7
2013-04-09T23:30:00Z,Wrist Shot,TRUE,-37,-12
2013-04-13T23:00:00Z,Backhand,TRUE,-74,-1
2013-04-16T23:00:00Z,Slap Shot,FALSE,46,21
2013-04-20T23:00:00Z,Wrist Shot,TRUE,77,19
2013-04-20T23:00:00Z,Slap Shot,FALSE,70,30
2013-04-23T23:00:00Z,Slap Shot,TRUE,-43,4
2013-04-25T23:00:00Z,Backhand,TRUE,-81,-1
2013-05-02T23:30:00Z,Wrist Shot,FALSE,79,3
2013-09-20T23:00:00Z,Slap Shot,FALSE,55,24
2013-09-25T23:00:00Z,Wrist Shot,FALSE,-80,-10
2013-09-27T23:00:00Z,Slap Shot,FALSE,70,21
2013-09-27T23:00:00Z,Slap Shot,FALSE,81,12
2013-10-02T00:00:00Z,Wrist Shot,FALSE,77,11
2013-10-03T23:00:00Z,Slap Shot,FALSE,52,25
2013-10-03T23:00:00Z,Slap Shot,TRUE,54,-15
2013-10-03T23:00:00Z,Backhand,TRUE,-79,-4
2013-10-06T00:00:00Z,Snap Shot,FALSE,81,20
2013-10-10T23:00:00Z,Tip-In,TRUE,68,2
2013-10-14T23:00:00Z,Wrist Shot,TRUE,69,-12
2013-10-19T23:00:00Z,Slap Shot,FALSE,-63,-21
2013-10-23T00:00:00Z,Backhand,TRUE,-82,-3
2013-10-23T00:00:00Z,Wrist Shot,TRUE,-61,-24
2013-10-25T01:30:00Z,Wrist Shot,TRUE,51,-10
2013-11-06T00:00:00Z,Snap Shot,FALSE,51,21
2013-11-06T00:00:00Z,Snap Shot,FALSE,52,20
2013-11-08T00:00:00Z,Slap Shot,FALSE,-79,-13
2013-11-13T00:00:00Z,Wrist Shot,TRUE,-84,-7
2013-11-16T00:30:00Z,Wrist Shot,TRUE,78,16
2013-11-17T23:00:00Z,Slap Shot,TRUE,-58,25
2013-11-17T23:00:00Z,Backhand,TRUE,-73,-8
2013-11-23T00:00:00Z,Wrist Shot,FALSE,-86,-17
2013-11-23T00:00:00Z,Deflected,TRUE,-75,-2
2013-11-24T00:00:00Z,Snap Shot,TRUE,53,23
2013-11-29T22:00:00Z,Wrist Shot,TRUE,-77,7
2013-12-01T00:00:00Z,Snap Shot,TRUE,78,1
2013-12-08T00:00:00Z,Slap Shot,FALSE,-54,-17
2013-12-11T00:00:00Z,Snap Shot,TRUE,-63,5
2013-12-11T00:00:00Z,Wrist Shot,FALSE,82,7
2013-12-11T00:00:00Z,Slap Shot,FALSE,57,21
2013-12-11T00:00:00Z,Slap Shot,TRUE,-55,-17
2013-12-15T20:00:00Z,Snap Shot,TRUE,-42,3
2013-12-18T00:30:00Z,Backhand,FALSE,-85,-8
2013-12-21T00:00:00Z,Wrist Shot,TRUE,69,-2
2013-12-22T00:00:00Z,Wrist Shot,TRUE,-52,11
2014-01-03T00:00:00Z,Snap Shot,TRUE,62,-11
2014-01-11T00:00:00Z,Slap Shot,TRUE,67,17
2014-01-15T00:00:00Z,Slap Shot,TRUE,72,36
2014-01-16T01:00:00Z,Wrist Shot,TRUE,-65,-12
2014-01-20T00:30:00Z,Slap Shot,FALSE,-69,-20
2014-01-26T00:00:00Z,Wrist Shot,TRUE,-88,-7
2014-01-29T00:30:00Z,Slap Shot,FALSE,-46,0
2014-01-29T00:30:00Z,Deflected,TRUE,-71,-1
2014-02-02T17:30:00Z,Slap Shot,FALSE,-57,-20
2014-02-07T00:00:00Z,Backhand,TRUE,-78,0
2014-02-28T00:30:00Z,Snap Shot,TRUE,69,9
2014-03-01T18:00:00Z,Slap Shot,FALSE,-54,-27
2014-03-01T18:00:00Z,Slap Shot,FALSE,48,23
2014-03-06T01:00:00Z,Snap Shot,FALSE,63,25
2014-03-14T23:00:00Z,Slap Shot,FALSE,59,23
2014-03-19T02:00:00Z,Slap Shot,FALSE,-76,-18
2014-03-25T23:00:00Z,Slap Shot,FALSE,-80,4
2014-03-25T23:00:00Z,Snap Shot,FALSE,-61,-13
2014-04-04T23:00:00Z,Wrist Shot,TRUE,-56,-4
2014-04-09T00:00:00Z,Slap Shot,FALSE,-69,-24
2014-04-11T23:00:00Z,Slap Shot,FALSE,-66,-34
2014-09-26T23:00:00Z,Wrist Shot,FALSE,-53,-19
2014-09-26T23:00:00Z,Wrist Shot,FALSE,50,17
2014-10-05T19:00:00Z,Snap Shot,TRUE,79,2
2014-10-11T23:00:00Z,Slap Shot,FALSE,-73,-16
2014-10-11T23:00:00Z,Wrist Shot,TRUE,-73,-7
2014-10-14T23:00:00Z,Wrist Shot,TRUE,59,3
2014-10-14T23:00:00Z,Slap Shot,FALSE,-59,-12
2014-10-16T23:00:00Z,Wrist Shot,TRUE,-64,9
2014-10-18T23:00:00Z,Wrist Shot,TRUE,-80,11
2014-11-03T00:00:00Z,Slap Shot,FALSE,-69,-14
2014-11-12T00:00:00Z,Slap Shot,FALSE,-63,-22
2014-11-12T00:00:00Z,Wrist Shot,TRUE,-54,7
2014-11-21T02:00:00Z,Wrist Shot,TRUE,85,7
2014-11-27T00:00:00Z,Slap Shot,FALSE,66,15
2014-11-27T00:00:00Z,Snap Shot,FALSE,-78,-9
2014-11-28T22:00:00Z,Wrist Shot,TRUE,59,-21
2014-12-10T00:30:00Z,Wrist Shot,TRUE,-70,-3
2014-12-10T00:30:00Z,Wrist Shot,TRUE,-20,-13
2014-12-17T00:30:00Z,Snap Shot,TRUE,79,-2
2014-12-21T00:00:00Z,Backhand,TRUE,-77,-9
2014-12-24T00:00:00Z,Snap Shot,FALSE,62,19
2014-12-30T00:00:00Z,Wrist Shot,TRUE,60,10
2015-01-01T18:00:00Z,Wrist Shot,TRUE,76,3
2015-01-04T20:00:00Z,Wrist Shot,FALSE,76,12
2015-01-08T00:00:00Z,Wrist Shot,TRUE,49,29
2015-01-09T00:00:00Z,Slap Shot,FALSE,52,24
2015-01-13T00:00:00Z,Snap Shot,FALSE,58,14
2015-01-17T01:00:00Z,Slap Shot,TRUE,80,31
2015-01-17T01:00:00Z,Slap Shot,FALSE,57,29
2015-01-18T01:00:00Z,Wrist Shot,TRUE,78,0
2015-01-21T00:00:00Z,Slap Shot,TRUE,-43,-18
